distance,source,driving,frame
0,000054.mp4,000048.mp4,0
0,000050.mp4,000063.mp4,0
0,000073.mp4,000007.mp4,0
0,000021.mp4,000010.mp4,0
0,000084.mp4,000046.mp4,0
0,000031.mp4,000102.mp4,0
0,000029.mp4,000111.mp4,0
0,000090.mp4,000112.mp4,0
0,000039.mp4,000010.mp4,0
0,000008.mp4,000069.mp4,0
0,000068.mp4,000076.mp4,0
0,000051.mp4,000052.mp4,0
0,000022.mp4,000098.mp4,0
0,000096.mp4,000032.mp4,0
0,000032.mp4,000099.mp4,0
0,000006.mp4,000053.mp4,0
0,000098.mp4,000020.mp4,0
0,000029.mp4,000066.mp4,0
0,000022.mp4,000007.mp4,0
0,000027.mp4,000065.mp4,0
0,000026.mp4,000059.mp4,0
0,000015.mp4,000112.mp4,0
0,000086.mp4,000123.mp4,0
0,000103.mp4,000052.mp4,0
0,000123.mp4,000103.mp4,0
0,000051.mp4,000005.mp4,0
0,000062.mp4,000125.mp4,0
0,000126.mp4,000111.mp4,0
0,000066.mp4,000090.mp4,0
0,000075.mp4,000106.mp4,0
0,000020.mp4,000010.mp4,0
0,000076.mp4,000028.mp4,0
0,000062.mp4,000002.mp4,0
0,000095.mp4,000127.mp4,0
0,000113.mp4,000072.mp4,0
0,000027.mp4,000104.mp4,0
0,000054.mp4,000124.mp4,0
0,000019.mp4,000089.mp4,0
0,000052.mp4,000072.mp4,0
0,000108.mp4,000033.mp4,0
0,000044.mp4,000118.mp4,0
0,000029.mp4,000086.mp4,0
0,000068.mp4,000066.mp4,0
0,000014.mp4,000036.mp4,0
0,000053.mp4,000071.mp4,0
0,000022.mp4,000094.mp4,0
0,000000.mp4,000121.mp4,0
0,000071.mp4,000079.mp4,0
0,000127.mp4,000005.mp4,0
0,000085.mp4,000023.mp4,0
